gamename,year,month,avg,gain,peak,avg_peak_perc
Project Zomboid,2014,May ,463.59,82.87,1142,40.59%
Project Zomboid,2014,April ,380.72,-298.56,845,45.06%
Project Zomboid,2014,March ,679.28,339.24,1871,36.31%
Project Zomboid,2014,February ,340.04,123.6,1139,29.85%
Project Zomboid,2014,January ,216.44,-20.4,416,52.03%
Project Zomboid,2013,December ,236.84,-174.83,603,39.28%
Project Zomboid,2013,November ,411.67,NA,1021,40.32%
Noita,2021,January ,2427.38,425.06,3780,64.22%
Noita,2020,December ,2002.32,-403.08,3288,60.90%
Noita,2020,November ,2405.41,361.77,3705,64.92%
Noita,2020,October ,2043.64,1387.51,5183,39.43%
Noita,2020,September ,656.12,-212.66,1016,64.58%
Noita,2020,August ,868.78,36.15,1755,49.50%
Noita,2020,July ,832.64,216.05,1179,70.62%
Noita,2020,June ,616.59,-107.68,1223,50.42%
Noita,2020,May ,724.26,107.84,1185,61.12%
Noita,2020,April ,616.42,-355.11,1024,60.20%
Noita,2020,March ,971.53,-108.61,1930,50.34%
Noita,2020,February ,1080.14,-1.89,1926,56.08%
Noita,2020,January ,1082.03,76.56,1662,65.10%
Noita,2019,December ,1005.47,-173.48,1745,57.62%
Noita,2019,November ,1178.95,-803.76,2317,50.88%
Noita,2019,October ,1982.7,NA,3781,52.44%
Northgard,2021,January ,2125.78,43.97,5041,42.17%
Northgard,2020,December ,2081.81,-90.65,4708,44.22%
Northgard,2020,November ,2172.45,480.87,4887,44.45%
Northgard,2020,October ,1691.58,-575.35,3410,49.61%
Northgard,2020,September ,2266.94,919.32,6944,32.65%
Northgard,2020,August ,1347.62,-212.52,2438,55.28%
Northgard,2020,July ,1560.15,108.97,3094,50.43%
Northgard,2020,June ,1451.17,-709.3,3093,46.92%
Northgard,2020,May ,2160.47,-1279.59,5398,40.02%
Northgard,2020,April ,3440.06,1829.33,15477,22.23%
Northgard,2020,March ,1610.73,54.16,3834,42.01%
Northgard,2020,February ,1556.57,-281.63,3334,46.69%
Northgard,2020,January ,1838.2,-482.77,4190,43.87%
Northgard,2019,December ,2320.97,187.78,4360,53.23%
Northgard,2019,November ,2133.2,1027.86,4175,51.09%
Northgard,2019,October ,1105.34,409.73,3358,32.92%
Northgard,2019,September ,695.61,-241.12,2268,30.67%
Northgard,2019,August ,936.73,-22.2,2627,35.66%
Northgard,2019,July ,958.93,-179.42,2334,41.09%
Northgard,2019,June ,1138.35,79.71,3086,36.89%
Northgard,2019,May ,1058.64,-225.88,2825,37.47%
Northgard,2019,April ,1284.51,100.21,4462,28.79%
Northgard,2019,March ,1184.3,476.71,2682,44.16%
Northgard,2019,February ,707.59,-567.34,1739,40.69%
Northgard,2019,January ,1274.93,-546.34,3836,33.24%
Northgard,2018,December ,1821.27,1048.54,4788,38.04%
Northgard,2018,November ,772.73,-409.86,2271,34.03%
Northgard,2018,October ,1182.58,633.26,4049,29.21%
Northgard,2018,September ,549.32,-135.58,1170,46.95%
Northgard,2018,August ,684.9,-461.51,1502,45.60%
Northgard,2018,July ,1146.41,220.22,3233,35.46%
Northgard,2018,June ,926.18,-287.51,2062,44.92%
Northgard,2018,May ,1213.69,77.87,3624,33.49%
Northgard,2018,April ,1135.82,-982.72,2602,43.65%
Northgard,2018,March ,2118.54,1276.92,6910,30.66%
Northgard,2018,February ,841.62,-1192.58,2177,38.66%
Northgard,2018,January ,2034.2,1093.78,7668,26.53%
Northgard,2017,December ,940.42,257.15,2435,38.62%
Northgard,2017,November ,683.27,193.59,2251,30.35%
Northgard,2017,October ,489.68,-69.6,1091,44.88%
Northgard,2017,September ,559.28,-149.89,1195,46.80%
Northgard,2017,August ,709.17,-356.03,1487,47.69%
Northgard,2017,July ,1065.2,-274.41,3287,32.41%
Northgard,2017,June ,1339.61,1119.85,3886,34.47%
Northgard,2017,May ,219.75,-91.15,710,30.95%
Northgard,2017,April ,310.91,-288.71,713,43.61%
Northgard,2017,March ,599.61,91.74,1798,33.35%
Northgard,2017,February ,507.88,507.83,2798,18.15%
Northgard,2017,January ,0.05,0,2,2.50%
Northgard,2016,December ,0.05,0.03,1,5%
Northgard,2016,October ,0.01,-0.03,1,1%
Northgard,2016,September ,0.04,-0.09,2,2%
Northgard,2016,August ,0.12,NA,3,4%
Realm of the Mad God Exalt,2021,January ,2071.37,-157.91,3439,60.23%
Realm of the Mad God Exalt,2020,December ,2229.28,222.34,3805,58.59%
Realm of the Mad God Exalt,2020,November ,2006.95,-472.43,3290,61.00%
Realm of the Mad God Exalt,2020,October ,2479.38,207.5,3732,66.44%
Realm of the Mad God Exalt,2020,September ,2271.88,316.54,4714,48.19%
Realm of the Mad God Exalt,2020,August ,1955.34,376.13,2910,67.19%
Realm of the Mad God Exalt,2020,July ,1579.2,-258.41,2467,64.01%
Realm of the Mad God Exalt,2020,June ,1837.61,-865.27,2779,66.12%
Realm of the Mad God Exalt,2020,May ,2702.88,-198.52,4277,63.20%
Realm of the Mad God Exalt,2020,April ,2901.4,1488.36,6072,47.78%
Realm of the Mad God Exalt,2020,March ,1413.04,502.86,2615,54.04%
Realm of the Mad God Exalt,2020,February ,910.18,-52.57,1577,57.72%
Realm of the Mad God Exalt,2020,January ,962.75,-35.82,1722,55.91%
Realm of the Mad God Exalt,2019,December ,998.57,191.79,1687,59.19%
Realm of the Mad God Exalt,2019,November ,806.78,140.94,1429,56.46%
Realm of the Mad God Exalt,2019,October ,665.84,71.48,1227,54.27%
Realm of the Mad God Exalt,2019,September ,594.36,-157.34,1166,50.97%
Realm of the Mad God Exalt,2019,August ,751.7,-191.5,1265,59.42%
Realm of the Mad God Exalt,2019,July ,943.2,-18.56,1707,55.25%
Realm of the Mad God Exalt,2019,June ,961.77,-18.49,1679,57.28%
Realm of the Mad God Exalt,2019,May ,980.25,144.15,1744,56.21%
Realm of the Mad God Exalt,2019,April ,836.1,-9.1,1558,53.67%
Realm of the Mad God Exalt,2019,March ,845.21,-34.79,1462,57.81%
Realm of the Mad God Exalt,2019,February ,880,-86.49,1501,58.63%
Realm of the Mad God Exalt,2019,January ,966.49,-111.72,1856,52.07%
Realm of the Mad God Exalt,2018,December ,1078.21,238.43,1826,59.05%
Realm of the Mad God Exalt,2018,November ,839.78,-80.61,1548,54.25%
Realm of the Mad God Exalt,2018,October ,920.39,-214.65,1734,53.08%
Realm of the Mad God Exalt,2018,September ,1135.04,-861.65,2398,47.33%
Realm of the Mad God Exalt,2018,August ,1996.69,616.41,3678,54.29%
Realm of the Mad God Exalt,2018,July ,1380.28,63,2945,46.87%
Realm of the Mad God Exalt,2018,June ,1317.28,102.75,2184,60.32%
Realm of the Mad God Exalt,2018,May ,1214.53,1.32,2272,53.46%
Realm of the Mad God Exalt,2018,April ,1213.21,127.74,2155,56.30%
Realm of the Mad God Exalt,2018,March ,1085.47,-182.85,1961,55.35%
Realm of the Mad God Exalt,2018,February ,1268.32,-22.49,2427,52.26%
Realm of the Mad God Exalt,2018,January ,1290.81,-273.17,2630,49.08%
Realm of the Mad God Exalt,2017,December ,1563.98,302.76,2719,57.52%
Realm of the Mad God Exalt,2017,November ,1261.22,30.97,2579,48.90%
Realm of the Mad God Exalt,2017,October ,1230.25,-195.26,2513,48.96%
Realm of the Mad God Exalt,2017,September ,1425.51,-464.23,3027,47.09%
Realm of the Mad God Exalt,2017,August ,1889.74,808.33,3003,62.93%
Realm of the Mad God Exalt,2017,July ,1081.41,117.47,1738,62.22%
Realm of the Mad God Exalt,2017,June ,963.94,51.98,1543,62.47%
Realm of the Mad God Exalt,2017,May ,911.96,-139.56,1748,52.17%
Realm of the Mad God Exalt,2017,April ,1051.52,116.45,1887,55.72%
Realm of the Mad God Exalt,2017,March ,935.07,135.35,1875,49.87%
Realm of the Mad God Exalt,2017,February ,799.71,-37.51,1571,50.90%
Realm of the Mad God Exalt,2017,January ,837.22,-12.45,1575,53.16%
Realm of the Mad God Exalt,2016,December ,849.68,14.35,1523,55.79%
Realm of the Mad God Exalt,2016,November ,835.32,-47.03,1682,49.66%
Realm of the Mad God Exalt,2016,October ,882.35,-55.06,1854,47.59%
Realm of the Mad God Exalt,2016,September ,937.41,-351.06,2029,46.20%
Realm of the Mad God Exalt,2016,August ,1288.46,343.52,2108,61.12%
Realm of the Mad God Exalt,2016,July ,944.95,235.02,1878,50.32%
Realm of the Mad God Exalt,2016,June ,709.93,50.32,1234,57.53%
Realm of the Mad God Exalt,2016,May ,659.6,-55.59,1398,47.18%
Realm of the Mad God Exalt,2016,April ,715.19,-68.48,1371,52.17%
Realm of the Mad God Exalt,2016,March ,783.68,-65.73,1576,49.73%
Realm of the Mad God Exalt,2016,February ,849.41,-52.32,1633,52.02%
Realm of the Mad God Exalt,2016,January ,901.73,-61.1,1712,52.67%
Realm of the Mad God Exalt,2015,December ,962.83,76.46,1720,55.98%
Realm of the Mad God Exalt,2015,November ,886.37,165.83,2171,40.83%
Realm of the Mad God Exalt,2015,October ,720.54,46.86,1433,50.28%
Realm of the Mad God Exalt,2015,September ,673.68,-127.5,1359,49.57%
Realm of the Mad God Exalt,2015,August ,801.18,-94.34,1349,59.39%
Realm of the Mad God Exalt,2015,July ,895.52,-80.68,1481,60.47%
Realm of the Mad God Exalt,2015,June ,976.19,103.23,1613,60.52%
Realm of the Mad God Exalt,2015,May ,872.97,3.6,1654,52.78%
Realm of the Mad God Exalt,2015,April ,869.37,-33.05,1646,52.82%
Realm of the Mad God Exalt,2015,March ,902.41,-34.42,1792,50.36%
Realm of the Mad God Exalt,2015,February ,936.83,39.57,1795,52.19%
Realm of the Mad God Exalt,2015,January ,897.26,-93.17,1771,50.66%
Realm of the Mad God Exalt,2014,December ,990.43,-10.33,1781,55.61%
Realm of the Mad God Exalt,2014,November ,1000.76,-3.71,2168,46.16%
Realm of the Mad God Exalt,2014,October ,1004.47,56.16,2405,41.77%
Realm of the Mad God Exalt,2014,September ,948.31,92.03,2264,41.89%
Realm of the Mad God Exalt,2014,August ,856.28,-60.78,1597,53.62%
Realm of the Mad God Exalt,2014,July ,917.06,-64.8,1531,59.90%
Realm of the Mad God Exalt,2014,June ,981.87,76.71,1733,56.66%
Realm of the Mad God Exalt,2014,May ,905.16,-240.77,1875,48.28%
Realm of the Mad God Exalt,2014,April ,1145.92,174.08,2771,41.35%
Realm of the Mad God Exalt,2014,March ,971.85,520.8,2056,47.27%
Realm of the Mad God Exalt,2014,February ,451.05,-349.55,2067,21.82%
Realm of the Mad God Exalt,2014,January ,800.6,49.02,1452,55.14%
Realm of the Mad God Exalt,2013,December ,751.58,134.19,1474,50.99%
Realm of the Mad God Exalt,2013,November ,617.4,42.3,1320,46.77%
Realm of the Mad God Exalt,2013,October ,575.1,-56.16,1150,50.01%
Realm of the Mad God Exalt,2013,September ,631.26,-83.78,1421,44.42%
Realm of the Mad God Exalt,2013,August ,715.04,-63.51,1109,64.48%
Realm of the Mad God Exalt,2013,July ,778.54,-56.28,1426,54.60%
Realm of the Mad God Exalt,2013,June ,834.82,60.97,1420,58.79%
Realm of the Mad God Exalt,2013,May ,773.85,-57.98,1550,49.93%
Realm of the Mad God Exalt,2013,April ,831.84,94.35,1669,49.84%
Realm of the Mad God Exalt,2013,March ,737.49,-135,1633,45.16%
Realm of the Mad God Exalt,2013,February ,872.49,127.22,1641,53.17%
Realm of the Mad God Exalt,2013,January ,745.27,29.55,1499,49.72%
Realm of the Mad God Exalt,2012,December ,715.72,36.81,1350,53.02%
Realm of the Mad God Exalt,2012,November ,678.92,-75.25,1523,44.58%
Realm of the Mad God Exalt,2012,October ,754.17,-372.79,1718,43.90%
Realm of the Mad God Exalt,2012,September ,1126.96,-320.05,2306,48.87%
Realm of the Mad God Exalt,2012,August ,1447.01,325.09,2558,56.57%
Realm of the Mad God Exalt,2012,July ,1121.92,NA,1642,68.33%
Persona 4 Golden,2021,January ,3001.5,589.17,4592,65.36%
Persona 4 Golden,2020,December ,2412.33,89.88,4029,59.87%
Persona 4 Golden,2020,November ,2322.45,-422.83,3586,64.76%
Persona 4 Golden,2020,October ,2745.27,-50.22,4777,57.47%
Persona 4 Golden,2020,September ,2795.5,-1606.24,4164,67.14%
Persona 4 Golden,2020,August ,4401.73,-4934.33,7193,61.19%
Persona 4 Golden,2020,July ,9336.06,-10253.86,16309,57.24%
Persona 4 Golden,2020,June ,19589.92,NA,29984,65.33%
X-Plane 11,2021,January ,1662.05,179.04,2674,62.16%
X-Plane 11,2020,December ,1483.01,89.25,2585,57.37%
X-Plane 11,2020,November ,1393.76,105.33,2375,58.68%
X-Plane 11,2020,October ,1288.42,3.17,2233,57.70%
X-Plane 11,2020,September ,1285.25,-458.08,2164,59.39%
X-Plane 11,2020,August ,1743.33,-322.38,3174,54.93%
X-Plane 11,2020,July ,2065.71,55.44,3234,63.87%
X-Plane 11,2020,June ,2010.26,-301.95,3301,60.90%
X-Plane 11,2020,May ,2312.21,-265.68,3910,59.14%
X-Plane 11,2020,April ,2577.89,574.18,4173,61.78%
X-Plane 11,2020,March ,2003.7,322.45,3979,50.36%
X-Plane 11,2020,February ,1681.26,78.35,3016,55.74%
X-Plane 11,2020,January ,1602.91,152.97,2888,55.50%
X-Plane 11,2019,December ,1449.94,126.63,2660,54.51%
X-Plane 11,2019,November ,1323.31,59.84,2464,53.71%
X-Plane 11,2019,October ,1263.46,41.86,2335,54.11%
X-Plane 11,2019,September ,1221.6,-14.87,2275,53.70%
X-Plane 11,2019,August ,1236.46,16.23,2081,59.42%
X-Plane 11,2019,July ,1220.23,68.7,2151,56.73%
X-Plane 11,2019,June ,1151.54,-8.07,1888,60.99%
X-Plane 11,2019,May ,1159.61,8.41,2149,53.96%
X-Plane 11,2019,April ,1151.2,-45.6,2085,55.21%
X-Plane 11,2019,March ,1196.8,16.86,2232,53.62%
X-Plane 11,2019,February ,1179.94,-3.96,2183,54.05%
X-Plane 11,2019,January ,1183.9,137.49,2217,53.40%
X-Plane 11,2018,December ,1046.41,111.84,2126,49.22%
X-Plane 11,2018,November ,934.57,157.07,1829,51.10%
X-Plane 11,2018,October ,777.5,-6.09,1470,52.89%
X-Plane 11,2018,September ,783.59,4.94,1443,54.30%
X-Plane 11,2018,August ,778.64,15.49,1419,54.87%
X-Plane 11,2018,July ,763.16,79.38,1305,58.48%
X-Plane 11,2018,June ,683.78,28.68,1291,52.97%
X-Plane 11,2018,May ,655.1,13.1,1148,57.06%
X-Plane 11,2018,April ,642,5.07,1188,54.04%
X-Plane 11,2018,March ,636.93,17.91,1231,51.74%
X-Plane 11,2018,February ,619.02,-23.91,1199,51.63%
X-Plane 11,2018,January ,642.94,89.55,1204,53.40%
X-Plane 11,2017,December ,553.39,92.46,1187,46.62%
X-Plane 11,2017,November ,460.93,76.49,953,48.37%
X-Plane 11,2017,October ,384.44,32.7,850,45.23%
X-Plane 11,2017,September ,351.74,-28.84,676,52.03%
X-Plane 11,2017,August ,380.58,-3.86,679,56.05%
X-Plane 11,2017,July ,384.44,99.09,730,52.66%
X-Plane 11,2017,June ,285.35,22.98,660,43.23%
X-Plane 11,2017,May ,262.36,-38.75,480,54.66%
X-Plane 11,2017,April ,301.12,270.59,624,48.26%
X-Plane 11,2017,March ,30.53,30.53,390,7.83%
X-Plane 11,2016,December ,0,NA,0,NaN%
RISK: Global Domination,2021,January ,1855.56,152.39,4357,42.59%
RISK: Global Domination,2020,December ,1703.16,98.13,3816,44.63%
RISK: Global Domination,2020,November ,1605.03,436.42,3455,46.46%
RISK: Global Domination,2020,October ,1168.62,72.64,2521,46.36%
RISK: Global Domination,2020,September ,1095.98,-221.27,1913,57.29%
RISK: Global Domination,2020,August ,1317.25,-398.09,2354,55.96%
RISK: Global Domination,2020,July ,1715.34,-103.17,3032,56.57%
RISK: Global Domination,2020,June ,1818.51,-877.81,3789,47.99%
RISK: Global Domination,2020,May ,2696.32,-646.11,7786,34.63%
RISK: Global Domination,2020,April ,3342.43,407.05,8242,40.55%
RISK: Global Domination,2020,March ,2935.37,2004.37,11604,25.30%
RISK: Global Domination,2020,February ,931,NA,2390,38.95%
METAL GEAR SOLID V: THE PHANTOM PAIN,2021,January ,2207.35,217.4,3461,63.78%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,December ,1989.95,292.13,3183,62.52%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,November ,1697.82,-251.43,3324,51.08%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,October ,1949.25,-69.33,3351,58.17%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,September ,2018.58,-273.51,3814,52.93%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,August ,2292.09,-1107.18,3536,64.82%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,July ,3399.27,1218.74,5404,62.90%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,June ,2180.53,-1279.22,4774,45.68%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,May ,3459.75,1979.98,6504,53.19%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,April ,1479.78,170.93,2150,68.83%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,March ,1308.85,-16.05,2035,64.32%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,February ,1324.9,-219.57,2082,63.64%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,January ,1544.47,-239.32,2607,59.24%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,December ,1783.79,309.56,3134,56.92%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,November ,1474.23,180.24,2972,49.60%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,October ,1294,-186.29,2242,57.72%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,September ,1480.29,-276.57,2493,59.38%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,August ,1756.86,-552.94,2808,62.57%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,July ,2309.8,792.6,4048,57.06%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,June ,1517.2,253.77,3332,45.53%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,May ,1263.42,76.1,2233,56.58%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,April ,1187.32,-277.59,2019,58.81%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,March ,1464.91,-167.4,2489,58.86%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,February ,1632.32,-315.62,2602,62.73%
METAL GEAR SOLID V: THE PHANTOM PAIN,2019,January ,1947.93,-81.02,3159,61.66%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,December ,2028.96,293.83,3197,63.46%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,November ,1735.13,89.89,3004,57.76%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,October ,1645.24,-250.21,2897,56.79%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,September ,1895.45,-86.9,3320,57.09%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,August ,1982.34,-539.77,3347,59.23%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,July ,2522.12,710.31,3966,63.59%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,June ,1811.8,226.16,3799,47.69%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,May ,1585.64,-60.98,2508,63.22%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,April ,1646.63,-319.02,2879,57.19%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,March ,1965.65,-158.22,3687,53.31%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,February ,2123.87,-165.05,3694,57.50%
METAL GEAR SOLID V: THE PHANTOM PAIN,2018,January ,2288.92,189.24,3554,64.40%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,December ,2099.69,346.16,3436,61.11%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,November ,1753.53,-73.6,3292,53.27%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,October ,1827.13,-95.67,3206,56.99%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,September ,1922.8,-288.53,3189,60.29%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,August ,2211.33,-475.47,3526,62.72%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,July ,2686.81,603.57,4383,61.30%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,June ,2083.23,43.43,3816,54.59%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,May ,2039.8,180.32,3283,62.13%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,April ,1859.48,-290.96,3070,60.57%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,March ,2150.44,-463.66,3934,54.66%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,February ,2614.1,-835.82,4572,57.18%
METAL GEAR SOLID V: THE PHANTOM PAIN,2017,January ,3449.92,469.34,6279,54.94%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,December ,2980.58,826.34,5426,54.93%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,November ,2154.24,-118.39,4787,45.00%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,October ,2272.63,-414.47,4165,54.56%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,September ,2687.1,-454.22,4750,56.57%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,August ,3141.32,-656.25,5242,59.93%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,July ,3797.57,-2.43,7109,53.42%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,June ,3800.01,1063.63,7069,53.76%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,May ,2736.38,240.7,8513,32.14%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,April ,2495.68,-748.9,4676,53.37%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,March ,3244.58,-1389.95,5738,56.55%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,February ,4634.53,-2311.93,8430,54.98%
METAL GEAR SOLID V: THE PHANTOM PAIN,2016,January ,6946.46,2221.9,15691,44.27%
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,December ,4724.56,-940.8,8629,54.75%
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,November ,5665.37,-9431.21,14141,40.06%
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,October ,15096.58,-28054.36,35068,43.05%
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,September ,43150.94,NA,90952,47.44%
Jurassic World Evolution,2021,January ,3435.48,-388.88,9946,34.54%
Jurassic World Evolution,2020,December ,3824.36,2094.19,9960,38.40%
Jurassic World Evolution,2020,November ,1730.16,722.11,4223,40.97%
Jurassic World Evolution,2020,October ,1008.06,-19.16,2373,42.48%
Jurassic World Evolution,2020,September ,1027.22,-164.55,1975,52.01%
Jurassic World Evolution,2020,August ,1191.77,-704.54,2050,58.14%
Jurassic World Evolution,2020,July ,1896.31,128.63,4129,45.93%
Jurassic World Evolution,2020,June ,1767.68,-264.34,4810,36.75%
Jurassic World Evolution,2020,May ,2032.01,-431.25,4456,45.60%
Jurassic World Evolution,2020,April ,2463.27,851.65,7894,31.20%
Jurassic World Evolution,2020,March ,1611.62,448.4,5164,31.21%
Jurassic World Evolution,2020,February ,1163.22,-750.97,2435,47.77%
Jurassic World Evolution,2020,January ,1914.19,-1334.74,5218,36.68%
Jurassic World Evolution,2019,December ,3248.93,2069.24,6146,52.86%
Jurassic World Evolution,2019,November ,1179.68,301.9,4858,24.28%
Jurassic World Evolution,2019,October ,877.79,-471.77,1993,44.04%
Jurassic World Evolution,2019,September ,1349.55,218.78,3528,38.25%
Jurassic World Evolution,2019,August ,1130.77,-634.92,2651,42.65%
Jurassic World Evolution,2019,July ,1765.69,-371.63,4077,43.31%
Jurassic World Evolution,2019,June ,2137.31,1208.64,5953,35.90%
Jurassic World Evolution,2019,May ,928.67,-671.16,2163,42.93%
Jurassic World Evolution,2019,April ,1599.83,736.58,4454,35.92%
Jurassic World Evolution,2019,March ,863.26,-573.31,1826,47.28%
Jurassic World Evolution,2019,February ,1436.57,-955.09,4157,34.56%
Jurassic World Evolution,2019,January ,2391.65,-694.25,8222,29.09%
Jurassic World Evolution,2018,December ,3085.9,1433.65,8964,34.43%
Jurassic World Evolution,2018,November ,1652.25,936.16,6575,25.13%
Jurassic World Evolution,2018,October ,716.09,-606,1506,47.55%
Jurassic World Evolution,2018,September ,1322.09,-128.71,3044,43.43%
Jurassic World Evolution,2018,August ,1450.8,-2861.17,3028,47.91%
Jurassic World Evolution,2018,July ,4311.97,-16256.42,13270,32.49%
Jurassic World Evolution,2018,June ,20568.38,NA,60296,34.11%
BATTLETECH,2021,January ,2189.5,97.09,3688,59.37%
BATTLETECH,2020,December ,2092.41,-239.41,3641,57.47%
BATTLETECH,2020,November ,2331.81,310.97,3745,62.26%
BATTLETECH,2020,October ,2020.84,-43.79,3406,59.33%
BATTLETECH,2020,September ,2064.64,121.84,3665,56.33%
BATTLETECH,2020,August ,1942.8,-357.32,3315,58.61%
BATTLETECH,2020,July ,2300.12,-34.52,3968,57.97%
BATTLETECH,2020,June ,2334.64,-556.98,3911,59.69%
BATTLETECH,2020,May ,2891.62,498.6,5799,49.86%
BATTLETECH,2020,April ,2393.02,65.75,3732,64.12%
BATTLETECH,2020,March ,2327.26,-85.64,4285,54.31%
BATTLETECH,2020,February ,2412.9,-748.33,4997,48.29%
BATTLETECH,2020,January ,3161.23,-1155.46,6404,49.36%
BATTLETECH,2019,December ,4316.69,1251.12,9215,46.84%
BATTLETECH,2019,November ,3065.56,945.77,9415,32.56%
BATTLETECH,2019,October ,2119.79,226.62,4612,45.96%
BATTLETECH,2019,September ,1893.17,71.85,3930,48.17%
BATTLETECH,2019,August ,1821.31,-692.8,3469,52.50%
BATTLETECH,2019,July ,2514.11,-200.68,4610,54.54%
BATTLETECH,2019,June ,2714.79,1211.28,5347,50.77%
BATTLETECH,2019,May ,1503.51,-95.54,2803,53.64%
BATTLETECH,2019,April ,1599.04,-400.25,2957,54.08%
BATTLETECH,2019,March ,1999.3,-320.92,4181,47.82%
BATTLETECH,2019,February ,2320.21,-114.16,6354,36.52%
BATTLETECH,2019,January ,2434.37,-670.82,4999,48.70%
BATTLETECH,2018,December ,3105.18,1655.7,6454,48.11%
BATTLETECH,2018,November ,1449.49,44.83,4730,30.64%
BATTLETECH,2018,October ,1404.66,-611.54,2609,53.84%
BATTLETECH,2018,September ,2016.2,69.27,4064,49.61%
BATTLETECH,2018,August ,1946.93,-824.19,3979,48.93%
BATTLETECH,2018,July ,2771.12,-1391.86,6150,45.06%
BATTLETECH,2018,June ,4162.98,-6811.18,9268,44.92%
BATTLETECH,2018,May ,10974.17,-11808.44,26936,40.74%
BATTLETECH,2018,April ,22782.6,22770.92,35586,64.02%
BATTLETECH,2018,March ,11.69,6.29,39,29.97%
BATTLETECH,2018,February ,5.4,4.47,18,30%
BATTLETECH,2018,January ,0.93,NA,9,10.33%
theHunter Classic,2021,January ,1281.06,-41.93,2573,49.79%
theHunter Classic,2020,December ,1322.99,104.95,2553,51.82%
theHunter Classic,2020,November ,1218.04,218.33,2372,51.35%
theHunter Classic,2020,October ,999.71,199.96,2369,42.20%
theHunter Classic,2020,September ,799.75,14.54,1488,53.75%
theHunter Classic,2020,August ,785.21,35.15,1391,56.45%
theHunter Classic,2020,July ,750.06,-100,1254,59.81%
theHunter Classic,2020,June ,850.06,-334.79,1542,55.13%
theHunter Classic,2020,May ,1184.85,-274.18,2484,47.70%
theHunter Classic,2020,April ,1459.03,304.35,2703,53.98%
theHunter Classic,2020,March ,1154.68,311.3,2676,43.15%
theHunter Classic,2020,February ,843.38,-45.59,1617,52.16%
theHunter Classic,2020,January ,888.97,16.53,1739,51.12%
